Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1308,72576,15072,131552,8518368
1309,71520,14816,116288,8504000
1310,71040,14912,117504,8476864
1311,72032,14784,118176,8281632
1312,72160,14944,113344,8062880
1313,72352,17280,114176,7926208
1314,72416,14880,129216,8025056
1315,71968,15136,130272,8024320
1316,72768,16544,113856,8179904
1317,71872,15072,117760,7987584
1318,71488,15328,129408,7941344
1319,70496,15008,125600,7936960
1320,71616,15296,118080,8135872
1321,72384,15296,117984,7880032
1322,70976,14784,115424,7891136
1323,71936,15008,116000,7846656
1324,71616,15584,129856,7847520
1325,70912,15136,127872,7846496
1326,72128,15488,115360,7808544
1327,72032,15008,128224,7835616
1328,71456,15040,130016,7809792
1329,72288,14784,130528,7850528
1330,71744,14912,115168,8051104
1331,72768,15168,114240,7838848
1332,72160,15072,113024,7873952
1333,72512,15232,114848,7878528
1334,71200,15136,113024,7911296
1335,71616,15104,113568,7918784
1336,72192,14880,130368,8125728
1337,72512,15008,127808,8184640
1338,71104,14880,117536,7980640
1339,71648,14720,114240,8020160
1340,73056,14784,113184,8236640
1341,71232,15040,131168,8007296
1342,72544,14816,112416,8045600
1343,71840,15072,131072,8044256
1344,70848,14784,124736,8512384
1345,71104,14912,114368,8533792
1346,71264,15232,115040,8743776
1347,71296,14912,115456,8526304
1348,71104,15488,122464,8756256
1349,71424,14976,130976,8539360
1350,72160,14752,127008,8521408
1351,72288,16352,114016,8426912
1352,72128,15392,131712,8502400
1353,72064,16544,123552,8299712
1354,71616,14976,114016,8288512
1355,71584,14816,112000,8070016
1356,71296,14784,113792,8024896
1357,71552,14816,118592,8017248
1358,71136,14720,113280,7985184
1359,71712,15072,115264,7972576
1360,71200,14848,113600,7959232
1361,72928,14752,123552,8149856
1362,72352,15072,130464,7917984
1363,72384,15200,128032,7895104
1364,71968,14976,113568,7780064
1365,71968,15200,128992,7862560
1366,71616,15008,113824,7836960
1367,70784,15104,112544,8051584
1368,71840,16384,111840,8039008
1369,71904,14816,114400,7844032
1370,72384,14976,115744,7845408
1371,72704,14848,113152,8054304
1372,71616,14848,114432,8094720
1373,72640,15168,125088,8093440
1374,71712,15008,126304,7922400
1375,72160,15392,116416,7930752
1376,72544,14816,121984,7933792
1377,72128,15008,115296,7977024
1378,72512,15232,114176,8187840
1379,71936,14912,112864,8019872
1380,72160,15104,113248,8241888
1381,72288,15680,113312,8031008
1382,73408,14912,115072,8079616
1383,71584,15040,115136,8015456
1384,71136,14944,115232,8261248
1385,71936,14912,119712,8257856
1386,71904,15040,120192,8266848
1387,71136,14816,117664,8126656
1388,72128,14720,116128,7916256
1389,72384,15040,116032,7929280
1390,71264,15328,114560,7916832
1391,71232,15008,113472,7913440
1392,71488,14784,115008,7904832
1393,72704,15136,115392,7929760
1394,72000,15040,114464,7892288
1395,72352,15264,113888,7876864
1396,71744,17344,115264,7660640
1397,71168,15680,129216,7674400
1398,72576,15136,130592,7414560
