Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1369,37888,15360,58368,4113408
1370,36864,15360,60416,4099072
1371,37888,16384,57344,4113408
1372,37888,15360,344064,4094976
1373,36864,15360,58368,4087808
1374,36864,15360,59392,4079616
1375,36864,16384,345088,4115456
1376,36864,16384,58368,4085760
1377,36864,16384,351232,4066304
1378,37888,16384,58368,4085760
1379,37888,16384,58368,4123648
1380,37888,16384,630784,4083712
1381,36864,16384,58368,4150272
1382,37888,16384,59392,4082688
1383,37888,16384,59392,4073472
1384,36896,15360,58368,4104192
1385,36864,16352,57344,4088832
1386,36864,15360,58368,4059136
1387,36864,16352,59360,4062208
1388,36864,15392,59392,4123648
1389,37888,15360,57344,4044800
1390,37888,15360,59392,4107264
1391,36864,15360,58368,4062208
1392,36864,15360,58368,4102144
1393,37888,16384,58368,4036608
1394,36864,15360,58368,4083712
1395,36864,15360,57344,4081696
1396,37888,15392,59392,4084736
1397,37888,16384,57344,4080640
1398,37888,15360,57344,4054016
1399,37888,16384,58368,4093952
1400,37888,15360,333792,4080640
1401,36864,15360,58368,4116480
1402,36864,16384,58368,4087808
1403,36864,16384,57344,4099072
1404,37888,15360,59392,4146176
1405,36864,15360,58368,4106240
1406,37888,16384,58368,4144096
1407,37888,15360,396288,4137984
1408,37888,15360,628736,4110336
1409,36864,16384,920576,4120576
1410,37888,16384,530432,4111360
1411,37888,15360,642048,4142080
1412,37888,16384,58368,4379648
1413,37888,16384,57344,4404224
1414,37888,15360,57344,4059136
1415,37888,16384,906240,4074496
1416,37888,16384,610304,4134912
1417,37888,15360,547840,4049920
1418,36864,15360,58368,4058112
1419,37888,15360,614400,4033536
1420,37888,16384,625664,4014080
1421,36864,15360,57344,4417536
1422,38912,15360,58368,4005888
1423,36864,15360,58368,3990528
1424,36864,16384,57344,3959808
1425,37888,15360,57344,3986432
1426,36864,15360,59392,3984384
1427,36864,15360,899072,3950592
1428,36864,16352,59392,3995648
1429,37888,15360,57344,3956736
1430,37888,16384,59392,4005888
1431,37888,15360,58368,3980288
1432,37888,15360,57344,4012032
1433,36864,16384,57344,4046848
1434,36864,15360,58368,3981312
1435,37888,15360,58368,4023296
1436,37856,16384,58368,4065280
1437,36864,15360,58368,4063232
1438,37888,15360,58368,4071424
1439,37888,15360,58368,4050944
1440,520192,15360,58368,4061184
1441,37888,16384,58368,4055040
1442,37888,16384,58368,4073472
1443,36864,15360,58368,4115488
1444,36864,15360,58400,4063232
1445,37888,15360,58368,4093952
1446,36864,15360,58368,4585472
1447,37888,15360,58368,4100096
1448,37888,15360,58368,4101120
1449,36864,16384,59392,4585472
1450,36864,15360,58368,4609024
1451,37888,15360,58368,4627456
1452,36864,15360,57344,4642848
1453,36864,642048,58368,4665344
1454,36864,15360,58368,4649984
1455,37888,16384,57344,4649984
1456,37888,16384,59392,4674560
1457,37888,16384,58368,4634624
1458,37888,16384,58368,4652032
1459,36864,16384,59392,4655104
1460,37888,16384,58368,4662272
1461,37888,15392,58368,4658176
1462,35872,15360,58368,4647936
1463,37888,16384,57344,4651008
1464,37888,16384,58368,4651008
1465,36896,15360,58368,4655104
1466,36864,16384,60416,4652032
1467,36864,15360,57376,4663296
1468,36864,16384,58368,4644864
