Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1272,70880,15200,111744,5576928
1273,72160,15104,112512,5607392
1274,70752,15360,115040,5625472
1275,71872,15040,110720,5613216
1276,70912,14944,111072,5483936
1277,71200,15744,116224,5499584
1278,71424,14944,112544,5491424
1279,71072,14976,124992,5589408
1280,71072,15072,111712,5488352
1281,71168,15104,110944,5490880
1282,70848,15264,111328,5502432
1283,71200,15264,109824,5489152
1284,72416,15072,111552,5495360
1285,72160,15616,110048,5478784
1286,71200,15072,111232,5486784
1287,71680,15072,115136,5495424
1288,71680,15232,110400,5479840
1289,71488,15072,109664,5489568
1290,71648,15072,122720,5490464
1291,71040,14976,116768,5587136
1292,71040,15296,114432,5501344
1293,71168,15392,111456,5510880
1294,71360,15552,119648,5610048
1295,71936,15104,112640,5472448
1296,72096,14816,126112,5581024
1297,71232,14976,110784,5456000
1298,72160,14976,110080,5546560
1299,71136,15008,121152,5135552
1300,71488,14976,121344,5135040
1301,70976,15136,113216,5030464
1302,71296,15200,109600,4988448
1303,71072,15968,114336,4975104
1304,71648,15072,112352,4972768
1305,71168,14848,112032,4952800
1306,71264,14944,111904,4944576
1307,72064,15328,113248,4949632
1308,70400,15104,110656,5041344
1309,71360,15296,111584,4906240
1310,71392,15200,112448,4912032
1311,70816,15040,112864,4914528
1312,71072,14880,109568,4982144
1313,71872,14880,112736,4925408
1314,72256,15584,110624,4919168
1315,71840,16032,112032,4919168
1316,70848,15200,126048,5024832
1317,71552,15424,126496,5011392
1318,70912,14912,120800,5291456
1319,71456,15040,111488,4888160
1320,71712,15072,110016,5017088
1321,71328,14848,111808,5017920
1322,71040,15200,112960,4994496
1323,72192,15328,113856,5030752
1324,71680,15168,111584,4929888
1325,71232,14816,111232,4933280
1326,71328,14976,114784,4982432
1327,71424,15392,126592,5071232
1328,71648,15200,118880,5072768
1329,71296,14912,111872,4967808
1330,71328,15136,113152,5012256
1331,71488,16928,123776,5096128
1332,71360,15040,109920,5007456
